what,kind,bundleId,bundleVersion,description,time
started,bundle,org.jboss.tools.jsf.ui,3.2.1.v20111027-1258-H202-Final,"org.jboss.tools.jsf.ui",1412526767398
started,bundle,org.jboss.tools.jst.web,3.2.1.v20111025-0510-H215-Final,"org.jboss.tools.jst.web",1412526767398
started,bundle,org.jboss.tools.jst.web.ui,3.2.1.v20111025-0510-H215-Final,"org.jboss.tools.jst.web.ui",1412526767398
started,bundle,org.jboss.tools.runtime,1.2.0.v20111025-0316-H469-Final,"org.jboss.tools.runtime",1412526767398
started,bundle,org.jboss.tools.runtime.ui,1.0.0.v20111025-0316-H469-Final,"org.jboss.tools.runtime.ui",1412526767398
started,bundle,org.jboss.tools.seam.core,3.2.1.v20111027-1359-H303-Final,"org.jboss.tools.seam.core",1412526767398
started,bundle,org.jboss.tools.seam.ui,3.2.1.v20111027-1359-H303-Final,"org.jboss.tools.seam.ui",1412526767398
started,bundle,org.jboss.tools.usage,1.0.1.v20111025-0334-H157-Final,"org.jboss.tools.usage",1412526767398
os,sysinfo,,,"win32",1412526767398
arch,sysinfo,,,"x86_64",1412526767398
ws,sysinfo,,,"win32",1412526767398
locale,sysinfo,,,"en_IN",1412526767398
processors,sysinfo,,,"4",1412526767398
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1412526767398
java.runtime.version,sysinfo,,,"1.8.0_20-b26",1412526767398
java.specification.name,sysinfo,,,"Java Platform API Specification",1412526767398
java.specification.vendor,sysinfo,,,"Oracle Corporation",1412526767398
java.specification.version,sysinfo,,,"1.8",1412526767398
java.vendor,sysinfo,,,"Oracle Corporation",1412526767398
java.version,sysinfo,,,"1.8.0_20",1412526767398
java.vm.info,sysinfo,,,"mixed mode",1412526767398
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1412526767398
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1412526767398
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1412526767398
