what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.datatools.enablement.sybase.asa.schemaobjecteditor.examples,2.5.0.200810071,"org.eclipse.datatools.enablement.sybase.asa.schemaobjecteditor.examples",1412543954969
stopped,bundle,org.eclipse.datatools.sqltools.debugger.core.ui,1.0.0.v201003161000,"org.eclipse.datatools.sqltools.debugger.core.ui",1412543954969
stopped,bundle,org.eclipse.jst.server.preview.adapter,1.1.100.v20100308,"org.eclipse.jst.server.preview.adapter",1412543954969
stopped,bundle,org.eclipse.wst.xsl.jaxp.debug.ui,1.0.100.v201004290328,"org.eclipse.wst.xsl.jaxp.debug.ui",1412543954969
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1412543954970
stopped,bundle,org.eclipse.jst.common.annotations.ui,1.1.300.v201002081900,"org.eclipse.jst.common.annotations.ui",1412543954970
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.ui,1.1.200.v201004290730,"org.eclipse.jst.j2ee.ejb.annotations.ui",1412543954970
stopped,bundle,org.eclipse.jst.ejb.ui,1.1.502.v201101121843,"org.eclipse.jst.ejb.ui",1412543954970
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.600.v201008171516,"org.eclipse.jst.ws.axis.creation.ui",1412543954970
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1412543954970
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1412543954970
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1412543954970
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1412543954971
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1412543954971
stopped,bundle,org.eclipse.jst.ws.cxf.creation.ui,1.0.0.v201003311345,"org.eclipse.jst.ws.cxf.creation.ui",1412543954971
stopped,bundle,org.jboss.tools.ws.creation.ui,1.2.0.v20111025-2223-H243-Final,"org.jboss.tools.ws.creation.ui",1412543954971
stopped,bundle,org.eclipse.jst.ws.creation.ui,1.0.510.v201011041151,"org.eclipse.jst.ws.creation.ui",1412543954971
stopped,bundle,org.eclipse.jst.ws.cxf.consumption.ui,1.0.0.v201003222311,"org.eclipse.jst.ws.cxf.consumption.ui",1412543954971
stopped,bundle,org.jboss.tools.esb.project.core,1.4.1.v20111111-0222-H200-Final,"org.jboss.tools.esb.project.core",1412543954971
stopped,bundle,org.jboss.tools.ws.ui,1.2.1.v20111025-2223-H243-Final,"org.jboss.tools.ws.ui",1412543954971
stopped,bundle,org.jboss.tools.ws.creation.core,1.2.0.v20111025-2223-H243-Final,"org.jboss.tools.ws.creation.core",1412543954972
stopped,bundle,org.jboss.tools.ws.core,1.2.0.v20111025-2223-H243-Final,"org.jboss.tools.ws.core",1412543954972
stopped,bundle,org.eclipse.jst.ws.consumption.ui,1.1.302.v201101191731,"org.eclipse.jst.ws.consumption.ui",1412543954972
stopped,bundle,org.eclipse.jst.j2ee.webservice.ui,1.1.400.v201004110600,"org.eclipse.jst.j2ee.webservice.ui",1412543954972
stopped,bundle,org.jboss.tools.portlet.ui,1.2.0.v20111025-0629-H191-Final,"org.jboss.tools.portlet.ui",1412543954972
stopped,bundle,org.eclipse.jst.servlet.ui,1.1.404.v201101270100,"org.eclipse.jst.servlet.ui",1412543954974
stopped,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.integration",1412543954976
stopped,bundle,org.eclipse.jst.jee.ui,1.0.304.v201101272100,"org.eclipse.jst.jee.ui",1412543954977
stopped,bundle,org.eclipse.jst.j2ee.navigator.ui,1.1.403.v201012020600,"org.eclipse.jst.j2ee.navigator.ui",1412543954977
stopped,bundle,org.eclipse.jst.j2ee.jca.ui,1.1.400.v201004150700,"org.eclipse.jst.j2ee.jca.ui",1412543954977
stopped,bundle,org.jboss.ide.eclipse.as.wtp.ui,2.2.0.v20111110-1751-H262-Final,"org.jboss.ide.eclipse.as.wtp.ui",1412543954977
stopped,bundle,org.eclipse.jst.j2ee.ui,1.1.404.v201101122300,"org.eclipse.jst.j2ee.ui",1412543954977
stopped,bundle,org.eclipse.jst.jsf.facelet.ui,1.0.0.v20100602,"org.eclipse.jst.jsf.facelet.ui",1412543954977
stopped,bundle,org.eclipse.jst.jsf.ui,1.3.1.v20100906,"org.eclipse.jst.jsf.ui",1412543954977
stopped,bundle,org.eclipse.jst.ws.jaxrs.ui,1.0.301.v201012020511,"org.eclipse.jst.ws.jaxrs.ui",1412543954977
stopped,bundle,org.eclipse.jst.common.project.facet.ui,1.4.102.v201008182136,"org.eclipse.jst.common.project.facet.ui",1412543954978
stopped,bundle,org.eclipse.jst.common.ui,1.0.3.v201101101700,"org.eclipse.jst.common.ui",1412543954978
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.emitter,1.1.200.v200909290826,"org.eclipse.jst.j2ee.ejb.annotations.emitter",1412543954978
stopped,bundle,org.eclipse.jst.jsf.apache.trinidad.tagsupport,1.1.101.v20100906,"org.eclipse.jst.jsf.apache.trinidad.tagsupport",1412543954978
stopped,bundle,org.eclipse.jst.jsf.facesconfig.ui,1.2.1.v201101112207,"org.eclipse.jst.jsf.facesconfig.ui",1412543954978
stopped,bundle,org.eclipse.jst.pagedesigner.jsf.ui,1.2.0.v20100414,"org.eclipse.jst.pagedesigner.jsf.ui",1412543954978
stopped,bundle,org.eclipse.jst.pagedesigner,1.3.2.v201101211220,"org.eclipse.jst.pagedesigner",1412543954978
stopped,bundle,org.eclipse.jst.jsf.common.ui,1.2.0.v20100329,"org.eclipse.jst.jsf.common.ui",1412543954978
stopped,bundle,org.eclipse.jst.jsf.facelet.core,1.0.2.v201101042130,"org.eclipse.jst.jsf.facelet.core",1412543954978
stopped,bundle,org.eclipse.jst.jsf.core,1.3.3.v201102021253,"org.eclipse.jst.jsf.core",1412543954979
stopped,bundle,org.eclipse.jst.jsf.standard.tagsupport,1.2.2.v20101027,"org.eclipse.jst.jsf.standard.tagsupport",1412543954979
stopped,bundle,org.eclipse.jst.pagedesigner.jsp.core,1.2.0.v20100308,"org.eclipse.jst.pagedesigner.jsp.core",1412543954979
stopped,bundle,org.eclipse.jst.jsf.common,1.2.2.v201101211220,"org.eclipse.jst.jsf.common",1412543954979
stopped,bundle,org.eclipse.wst.jsdt.web.support.jsp,1.0.303.v201012160047,"org.eclipse.wst.jsdt.web.support.jsp",1412543954979
stopped,bundle,org.apache.struts2.ide.jsp.core,1.0.0.201409250712,"org.apache.struts2.ide.jsp.core",1412543954979
stopped,bundle,org.eclipse.jst.jsp.search.editor,1.0.0.201409250712,"org.eclipse.jst.jsp.search.editor",1412543954981
stopped,bundle,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.ui",1412543954981
stopped,bundle,org.eclipse.jst.ws.cxf.consumption.core,1.0.0.v201003222311,"org.eclipse.jst.ws.cxf.consumption.core",1412543954981
stopped,bundle,org.eclipse.jst.ws.cxf.creation.core,1.0.0.v201003311345,"org.eclipse.jst.ws.cxf.creation.core",1412543954981
stopped,bundle,org.eclipse.jst.ws.cxf.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.cxf.ui",1412543954982
stopped,bundle,org.eclipse.jst.ws.cxf.core,1.0.0.v201003311345,"org.eclipse.jst.ws.cxf.core",1412543954982
stopped,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.1.v201008232129,"org.eclipse.jst.ws.jaxws.ui",1412543954982
stopped,bundle,org.eclipse.jst.ws.jaxws.core,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.core",1412543954982
stopped,bundle,org.eclipse.jst.ws.annotations.core,1.0.0.v201004262257,"org.eclipse.jst.ws.annotations.core",1412543954982
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.303.v201003110431,"org.eclipse.jst.ws.axis2.ui",1412543954982
stopped,bundle,org.eclipse.jst.ws.uddiregistry,1.0.500.v201004211805,"org.eclipse.jst.ws.uddiregistry",1412543954982
stopped,bundle,org.eclipse.jst.ws.ui,1.0.403.v201004211805,"org.eclipse.jst.ws.ui",1412543954982
stopped,bundle,org.jboss.ide.eclipse.archives.jdt.integration,3.2.0.v20111025-0345-H201-Final,"org.jboss.ide.eclipse.archives.jdt.integration",1412543954982
stopped,bundle,org.jboss.ide.eclipse.as.classpath.ui,2.1.0.v20111110-1751-H262-Final,"org.jboss.ide.eclipse.as.classpath.ui",1412543954982
stopped,bundle,org.jboss.ide.eclipse.freemarker,1.1.0.v20111025-0320-H192-Final,"org.jboss.ide.eclipse.freemarker",1412543954983
stopped,bundle,org.jboss.tools.common.gef,3.1.0.v20111025-0439-H174-Final,"org.jboss.tools.common.gef",1412543954983
stopped,bundle,org.jboss.tools.common.projecttemplates,3.2.1.v20111025-0439-H174-Final,"org.jboss.tools.common.projecttemplates",1412543954983
stopped,bundle,org.jboss.tools.common.text.xml,3.2.1.v20111025-0439-H174-Final,"org.jboss.tools.common.text.xml",1412543954983
stopped,bundle,org.jboss.tools.jst.firstrun,3.2.0.v20111025-0510-H215-Final,"org.jboss.tools.jst.firstrun",1412543954983
stopped,bundle,org.jboss.tools.vpe.xulrunner,3.2.1.v20111025-2102-H197-Final,"org.jboss.tools.vpe.xulrunner",1412543954983
stopped,bundle,org.jboss.tools.common,3.2.1.v20111025-0439-H174-Final,"org.jboss.tools.common",1412543954983
stopped,bundle,org.apache.struts2.ide.ui,1.0.0.201409250712,"org.apache.struts2.ide.ui",1412543954983
stopped,bundle,org.apache.struts2.ide.validators.ui,1.0.0.201409250712,"org.apache.struts2.ide.validators.ui",1412543954983
stopped,bundle,org.apache.struts2.ide.validators.core,1.0.0.201409250712,"org.apache.struts2.ide.validators.core",1412543954984
stopped,bundle,org.apache.struts2.ide.core,1.0.0.201409250712,"org.apache.struts2.ide.core",1412543954984
stopped,bundle,org.eclipse.jst.jee.web.xml,1.0.0.201409250712,"org.eclipse.jst.jee.web.xml",1412543954985
stopped,bundle,org.eclipse.jst.server.jetty.xml.ui,1.0.0.201409250712,"org.eclipse.jst.server.jetty.xml.ui",1412543954985
stopped,bundle,org.eclipse.jst.server.jetty.xml.core,1.0.0.201409250712,"org.eclipse.jst.server.jetty.xml.core",1412543954986
stopped,bundle,org.eclipse.wst.html.search.editor,1.0.0.201409250712,"org.eclipse.wst.html.search.editor",1412543954986
stopped,bundle,org.eclipse.wst.xml.search.editor,1.0.0.201409250712,"org.eclipse.wst.xml.search.editor",1412543954987
stopped,bundle,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui",1412543955001
